Section;Sample;Season;Gammaridae;Protonemura;Nemoura;Amphinemura;Leuctridae;Haliplidae;Tipulidae;Limonidae;Sericostomatidae;Odontoceridae;Limnephilidae;Lepidostomatidae;Helodidae;Tabanidae;Polycelis;Dugesia;Hydrachnellae;Perlidae;Chloroperlidae;Perlodidae;Gomphidae;Gerridae;Gyrinidae;Dytiscidae;Hydraenidae;Ceratopogonidae;Empididae;Athericidae;Dolichopodidae;Rhyacophilidae;Polycentropus;Oligochaeta;Heptageniidae;Caenidae;Leptophlebidae;Ephemerellidae;Dixidae;Psychodidae;Chironomidae;Stratyomidae;Brachycentridae;Leptoceridae;Baetidae;Elmidae;Spharidae;Simuliidae;Hydropsychidae;Philopotamidae;Glossiphoniidae;Hydrobiidae;Bythinidae;Lymnaeidae;Ancylidae;Blephariceridae;Glossosomatidae;Hydroptilidae;Psychomyidae;Goeridae
1;A;July;191;51;18;0;84;0;0;4;91;4;0;0;51;0;53;0;0;13;0;0;0;0;0;0;4;18;0;27;7;0;53;242;40;0;80;0;0;0;151;0;0;0;293;67;0;18;0;47;0;0;0;0;0;0;0;0;0;0
1;B;July;102;0;0;0;96;0;0;4;356;11;0;0;24;0;16;0;0;9;0;0;0;0;0;0;9;11;0;24;0;0;0;56;220;0;151;0;0;0;100;0;0;0;111;76;0;0;9;0;0;0;0;0;0;0;0;0;0;0
1;C;July;147;91;0;0;100;0;2;2;482;13;7;4;16;0;229;0;0;2;0;0;0;0;0;0;20;16;0;64;0;7;0;324;73;0;78;0;0;0;336;0;0;0;131;69;0;2;49;84;0;0;0;0;2;0;0;0;0;0
1;D;July;224;29;18;0;49;0;0;2;213;11;2;0;18;0;304;0;0;11;0;0;0;0;0;0;44;20;0;136;0;0;0;256;138;0;227;2;0;0;184;7;0;0;313;149;0;16;11;7;4;0;0;0;0;0;0;0;0;0
1;E;July;224;56;36;0;82;0;4;42;498;13;0;0;2;0;20;0;18;2;0;0;0;0;0;0;69;20;0;120;0;0;0;58;96;0;176;0;0;0;324;0;0;0;180;116;0;4;22;4;0;0;2;0;0;0;0;0;0;0
1;A;October;138;47;0;0;93;0;0;2;36;11;0;0;91;0;7;0;0;0;2;0;0;0;0;0;9;4;0;11;0;0;0;53;80;0;113;0;2;0;73;0;0;0;7;16;0;2;33;0;0;0;0;0;0;0;0;0;0;0
1;B;October;82;64;2;0;307;0;13;7;98;42;2;20;356;0;82;0;0;18;0;0;0;0;0;0;40;4;0;87;0;0;0;247;716;0;378;0;7;0;176;0;0;0;69;78;0;38;107;18;0;0;0;0;2;0;0;0;0;0
1;C;October;149;47;0;0;147;0;2;9;276;22;0;0;98;0;7;0;0;2;40;0;0;0;0;0;9;40;0;0;7;0;0;529;91;0;511;0;0;0;153;0;0;0;9;44;0;0;7;11;0;0;0;0;0;0;0;0;0;0
1;D;October;218;0;11;0;716;0;4;20;356;22;0;4;1529;0;22;0;0;20;9;0;0;0;0;0;78;29;0;53;9;0;0;776;451;0;900;0;4;0;258;0;0;0;100;280;0;18;167;58;0;0;0;0;0;0;0;0;0;0
1;E;October;87;49;4;0;89;0;0;7;253;80;2;22;49;0;7;0;0;11;0;0;0;0;0;0;20;27;0;53;0;0;2;98;251;0;242;0;0;0;24;0;0;0;16;209;0;2;80;29;0;0;0;0;11;0;0;0;0;0
2;A;January;129;0;0;0;16;0;0;0;0;0;0;27;0;0;0;9;116;0;0;0;2;0;0;2;13;4;0;18;0;0;9;76;200;69;2;18;0;0;342;0;82;536;633;3620;2;56;4;0;0;12411;0;0;36;0;0;193;0;0
2;B;January;24;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;29;0;0;2;56;7;18;4;4;0;0;251;0;58;24;149;449;0;11;0;0;0;582;0;0;18;0;0;47;0;2
2;C;January;91;0;0;0;2;0;0;0;2;0;0;31;0;0;0;0;71;0;0;0;2;0;0;0;0;0;18;80;0;2;0;51;160;129;0;4;0;0;911;0;178;147;1127;5162;0;289;36;11;0;751;0;0;64;0;71;120;36;2
2;D;January;60;0;0;0;96;0;0;0;4;0;0;60;0;0;0;16;142;0;0;0;2;0;2;0;40;0;0;62;0;18;18;156;156;487;2;2;0;0;633;0;218;716;1256;8196;0;93;11;0;0;15620;0;0;42;0;71;282;0;0
2;E;January;29;0;0;0;56;0;0;0;0;0;0;31;0;0;0;27;0;0;0;0;0;0;18;0;2;0;0;51;0;18;20;76;142;111;7;4;0;0;344;0;40;589;749;8936;4;80;11;0;0;3929;0;0;9;0;0;240;0;0
2;A;April;109;0;0;0;167;0;0;0;0;0;2;156;0;2;0;16;427;2;0;0;0;0;4;0;53;44;7;69;0;11;7;3249;902;40;0;607;0;0;3927;0;104;1007;3247;6291;0;1900;31;9;0;2518;0;0;360;56;231;218;33;0
2;B;April;51;0;0;0;76;0;0;0;31;0;0;7;0;0;0;0;53;0;0;0;0;0;2;0;2;2;0;11;0;0;4;380;302;2;0;93;0;0;769;0;22;429;453;2236;2;133;24;0;0;573;0;0;78;33;29;27;64;0
2;C;April;71;0;0;0;191;0;0;0;0;0;0;20;0;0;0;0;71;0;0;0;7;0;7;0;20;24;7;4;0;2;2;1304;96;11;0;453;0;0;1189;0;36;300;1238;4253;0;73;22;0;0;1431;0;0;64;0;180;409;29;0
2;D;April;76;0;0;0;82;0;2;0;2;0;0;31;0;0;0;2;124;0;0;0;0;0;0;0;0;18;4;16;0;9;4;1531;427;224;0;467;0;4;1633;0;89;351;1478;2629;0;207;16;0;0;2176;0;0;364;0;327;344;11;0
2;E;April;129;0;0;0;31;0;0;2;0;0;0;13;0;2;0;31;53;0;0;0;2;0;0;0;0;2;38;31;0;9;7;340;504;0;0;244;0;0;642;0;142;384;1722;2271;2;131;13;0;0;1796;0;0;16;2;42;244;62;0
2;A;July;160;0;0;0;11;0;0;0;0;0;0;0;0;0;0;7;142;0;0;0;0;0;0;0;71;0;0;233;0;42;0;53;176;0;0;2;0;0;144;0;202;53;3827;3440;0;691;398;0;0;991;0;0;2;18;0;109;2;0
2;B;July;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;18;0;0;0;0;836;0;0;0;0;0;140;0;0;0;0;0;0;0;0
2;C;July;31;0;0;0;62;0;0;0;0;0;0;0;0;0;0;11;498;0;0;0;0;0;0;2;0;0;0;278;0;62;2;73;224;0;0;2;0;0;36;0;302;0;4240;4856;0;1404;220;0;0;6149;0;0;53;0;0;309;2;0
2;D;July;167;0;0;0;27;0;0;2;0;0;0;284;0;0;0;129;498;0;0;0;0;0;0;0;0;0;0;411;0;44;2;122;289;0;0;0;0;0;196;0;173;0;5073;4527;0;591;278;0;0;10349;0;0;16;0;0;467;2;0
2;E;July;18;0;0;0;64;0;0;0;2;0;0;700;0;0;0;22;196;0;0;0;0;0;0;0;0;0;0;296;0;0;0;151;82;73;0;4;0;0;9;0;127;7;2102;1891;0;38;13;0;0;10709;0;2;0;0;0;818;51;0
2;A;October;47;0;0;0;18;0;0;0;0;0;0;469;18;0;0;64;142;0;0;0;0;0;0;0;0;0;0;107;0;2;71;138;0;136;0;0;0;0;89;0;36;3087;322;5178;0;0;0;0;0;21769;0;0;9;0;0;149;142;0
2;B;October;11;0;0;0;2;0;0;0;0;0;0;422;0;0;0;98;320;0;0;0;0;0;42;0;9;0;0;64;0;129;0;53;36;0;4;4;0;0;62;0;416;198;929;3604;0;136;1151;0;0;8036;0;0;0;0;0;11;0;0
2;C;October;2;0;0;0;2;2;0;0;0;0;0;36;2;0;0;42;71;0;0;0;0;0;0;0;2;0;0;33;0;0;0;18;20;36;0;0;18;0;18;0;73;18;267;1564;0;53;51;7;0;4449;0;0;4;0;0;151;0;0
2;D;October;4;0;0;0;0;0;0;0;0;0;0;307;0;0;0;62;124;0;0;0;0;0;47;0;44;0;0;93;0;87;0;22;62;18;0;0;0;0;233;0;284;267;1080;6178;0;360;673;0;0;2476;0;0;0;0;0;13;0;0
2;E;October;11;0;4;0;9;0;0;0;0;0;0;1082;0;0;0;116;91;0;0;0;0;4;0;0;0;0;0;102;0;36;7;127;7;38;0;0;0;0;40;0;113;1544;142;2982;0;42;42;0;0;12504;0;0;2;0;0;178;0;0
3;A;January;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0;0;2;124;4;0;18;0;0;9;12411;200;513;0;684;0;0;2564;0;82;536;2796;2671;0;278;49;0;0;76;0;0;36;0;0;193;0;0
3;B;January;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;0;0;0;0;0;0;0;0;29;0;0;2;582;7;462;0;671;0;0;2513;0;58;24;2371;449;0;233;0;0;0;56;0;0;18;0;0;47;0;2
3;C;January;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0;0;0;0;0;0;0;0;0;18;80;0;24;0;751;160;573;0;671;0;0;3133;0;178;147;3349;7384;0;511;80;11;0;51;0;0;64;0;0;120;36;2
3;D;January;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;0;0;0;0;0;2;0;151;0;0;62;0;40;18;15620;156;709;0;669;0;0;2858;0;218;716;3478;10418;0;316;56;0;0;156;0;0;42;0;0;282;0;0
3;E;January;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;113;0;0;51;0;38;20;3929;142;556;0;667;0;0;2567;0;40;589;2971;11158;0;302;53;0;0;76;0;0;9;0;0;240;0;0
3;A;April;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;649;0;0;0;0;0;4;0;164;44;7;69;0;33;7;2518;902;484;0;1273;0;0;6171;0;104;1007;5469;8513;0;2122;76;9;0;3249;0;0;360;0;0;218;33;0
3;B;April;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;0;0;0;0;0;2;0;113;2;0;11;0;0;4;573;302;456;0;1204;0;0;3013;0;22;429;2676;4456;0;356;69;0;0;380;0;0;78;0;0;27;64;0
3;C;April;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0;0;0;0;0;7;0;131;24;7;4;0;24;2;1431;96;467;0;453;0;0;3407;0;36;300;3460;6476;0;296;67;0;0;1304;0;0;64;0;0;409;29;0
3;D;April;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347;0;0;0;0;0;0;0;0;18;4;16;0;31;4;2176;427;669;0;1133;0;4;3856;0;89;351;3702;4922;0;429;60;0;0;1531;0;0;364;0;0;344;11;0
3;E;April;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;276;0;0;0;0;0;0;0;0;2;38;31;0;31;7;1796;504;0;0;1367;0;0;2864;0;142;384;3944;4493;0;353;58;0;0;340;0;0;16;0;0;244;62;0
3;A;July;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;0;0;0;0;0;0;0;182;0;0;233;0;64;0;991;176;0;0;49;0;0;2367;0;202;53;3827;5589;0;513;444;0;0;53;0;0;2;0;0;109;2;0
3;B;July;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;53;0;140;0;0;0;0;0;0;2418;0;0;0;0;3058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;C;July;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;720;0;0;0;0;0;0;2;0;0;0;278;0;84;2;6149;224;0;0;93;0;0;2258;0;302;0;6622;7078;0;1627;264;0;0;73;0;0;53;0;0;309;2;0
3;D;July;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;727;0;0;0;0;0;0;0;0;0;0;411;0;67;2;10349;289;0;0;0;0;0;2862;0;173;0;7296;6749;0;813;333;0;0;122;0;0;16;0;0;467;2;0
3;E;July;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;0;0;0;0;0;0;0;0;0;0;296;0;0;0;10709;82;518;0;27;0;0;2520;0;127;7;4324;4033;0;260;58;0;0;151;0;0;0;0;0;818;51;0
3;A;October;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;0;0;0;0;0;0;0;0;0;0;107;0;47;71;21769;0;580;0;0;0;0;2322;0;36;3087;2544;7416;0;0;0;0;0;138;0;0;9;0;0;149;142;0
3;B;October;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542;0;0;0;0;0;42;0;120;0;0;64;0;151;0;8036;36;0;0;62;0;0;2278;0;416;198;3151;5827;0;358;1178;0;0;53;0;0;0;0;0;11;0;0
3;C;October;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;293;0;0;0;0;0;0;0;113;0;0;33;0;0;0;4449;20;480;0;0;18;0;2240;0;73;18;2489;3787;0;276;96;7;0;18;0;0;4;0;0;151;0;0
3;D;October;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347;0;0;0;0;0;47;0;156;0;0;0;93;0;109;0;62;462;0;0;0;0;0;2456;0;284;267;3302;8400;0;582;740;0;22;0;0;0;0;0;0;13;0;0
3;E;October;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;0;0;0;4;0;0;0;0;0;0;102;0;58;7;7;482;0;0;0;0;0;2484;0;113;1544;2364;5204;0;264;109;0;127;0;0;2;2;0;0;178;0;0
